LCK,RICKENBACKER INTERNATIONAL,COLUMBUS,U,39,48,49,82,55,40,744
YQQ,COMOX,COMOX,C,49,42,39,124,53,12,84
CXO,MONTGOMERY CO,CONROE,U,30,21,6,95,24,52,245
YCO,KUGLUKTUK,COPPERMINE,C,67,49,0,115,8,38,74
YZS,FAIRMONT HOT SPRINGS,CORAL HARBOUR,C,50,19,55,115,52,25,2658
CDV,MERLE K MUDHOLE SMITH,CORDOVA,U,60,29,30,145,28,39,42
YCT,CORONATION,CORONATION,C,52,4,30,111,26,43,2595
CRP,CORPUS CHRISTI INTERNATIONAL,CORPUS CHRISTI,U,27,46,13,97,30,4,44
COT,COTULLA LA SALLE CO,COTULLA,U,28,27,29,99,13,12,476
YXC,CRANBROOK,CRANBROOK,C,49,36,37,115,46,57,3082
CEW,BOB SIKES,CRESTVIEW,U,30,46,43,86,31,19,213
DHT,DALHART MUNI,DALHART,U,36,1,21,102,32,50,3991
DAL,DALLAS LOVE FLD,DALLAS,U,32,50,49,96,51,6,487
YDN,DAUPHIN BARKER,DAUPHIN,C,51,6,3,100,3,9,998
YDA,DAWSON,DAWSON,C,64,2,35,139,7,40,1214
YDQ,DAWSON CREEK,DAWSON CREEK,C,55,44,30,120,10,55,2148
DAY,JAMES M COX DAYTON INTERNATIONAL,DAYTON,U,39,54,8,84,13,9,1009
FFO,WRIGHT PATTERSON AFB,DAYTON,U,39,49,34,84,2,54,823
YDL,DEASE LAKE,DEASE LAKE,C,58,25,20,130,1,56,2600
YDF,DEER LAKE,DEER LAKE,C,49,12,39,57,23,29,72
DLF,LAUGHLIN AFB,DEL RIO,U,29,21,34,100,46,40,1081
DRT,DEL RIO INTERNATIONAL,DEL RIO,U,29,22,22,100,55,33,999
BIG,ALLEN AAF,DELTA JUNCTION,U,63,59,40,145,43,17,1277
DEN,DENVER INTERNATIONAL,DENVER,U,39,51,30,104,40,1,5431
DRI,BEAUREGARD PARISH,DERIDDER,U,30,49,54,93,20,23,204
DSM,DES MOINES INTERNATIONAL,DES MOINES,U,41,32,2,93,39,45,957
DET,DETROIT CITY,DETROIT,U,42,24,33,83,0,35,626
DTW,DETROIT METRO WAYNE CO,DETROIT,U,42,12,44,83,21,12,646
YIP,WILLOW RUN,DETROIT,U,42,14,16,83,31,49,716
DLG,DILLINGHAM,DILLINGHAM,U,59,2,43,158,30,12,86
DHN,DOTHAN RGNL,DOTHAN,U,31,19,16,85,26,58,401
DUG,BISBEE DOUGLAS INTERNATIONAL,DOUGLAS,U,31,28,8,109,36,13,4154
DOV,DOVER AFB,DOVER,U,39,7,48,75,27,59,30
YHD,DRYDEN RGNL,DRYDEN,C,49,49,54,92,44,39,1354
DLH,DULUTH INTERNATIONAL,DULUTH,U,46,50,31,92,11,37,1428
DRO,DURANGO LA PLATA CO,DURANGO,U,37,9,5,107,45,13,6685
EGP,EAGLE PASS MUNI,EAGLE PASS,U,28,42,0,100,28,46,805
YXR,TIMISKAMING RGNL,EARLTON,C,47,41,42,79,50,56,798
YEG,EDMONTON INTERNATIONAL,EDMONTON,C,53,18,35,113,34,47,2373
YXD,EDMONTON CITY CENTRE,EDMONTON,C,53,34,21,113,31,14,2200
YET,EDSON,EDSON,C,53,34,44,116,27,54,3041
NJK,EL CENTRO NAF,EL CENTRO,U,32,49,45,115,40,18,-43
ELD,SOUTH ARKANSAS RGNL AT GOODWIN FLD,EL DORADO,U,33,13,15,92,48,47,277
BIF,BIGGS AAF,EL PASO,U,31,50,58,106,22,48,3946
ELP,EL PASO INTERNATIONAL,EL PASO,U,31,48,24,106,22,40,3958
ECG,ELIZABETH CITY CGAS RGNL,ELIZABETH CITY,U,36,15,38,76,10,28,12
EKN,ELKINS RANDOLPH CO JENNINGS RANDOLPH,ELKINS,U,38,53,22,79,51,25,1987
END,VANCE AFB,ENID,U,36,20,23,97,54,58,1307
YEK,ARVIAT,ESKIMO POINT,C,61,5,39,94,4,15,32
YEN,ESTEVAN,ESTEVAN,C,49,12,37,102,57,57,1905
YEU,EUREKA,EUREKA,C,79,59,41,85,48,48,256
PAE,SNOHOMISH CO,EVERETT,U,47,54,22,122,16,53,606
EIL,EIELSON AFB,FAIRBANKS,U,64,39,56,147,6,5,548
FAI,FAIRBANKS INTERNATIONAL,FAIRBANKS,U,64,48,54,147,51,22,434
SUU,TRAVIS AFB,FAIRFIELD,U,38,15,45,121,55,38,62
NFL,FALLON NAS,FALLON,U,39,24,59,118,42,3,3934
FMH,OTIS ANGB,FALMOUTH,U,41,39,30,70,31,17,131
FMN,FOUR CORNERS RGNL,FARMINGTON,U,36,44,28,108,13,47,5506
ZFA,FARO,FARO,C,62,12,27,133,22,33,2351
FYV,DRAKE FLD,FAYETTEVILLE,U,36,0,18,94,10,12,1251
POB,POPE AFB,FAYETTEVILLE,U,35,10,15,79,0,52,217
YFO,FLIN FLON,FLIN FLON,C,54,40,41,101,40,54,997
FLO,FLORENCE RGNL,FLORENCE,U,34,11,7,79,43,26,146
N/A,FORESTVILLE,FORESTVILLE,C,48,44,46,69,5,50,29
LSF,LAWSON AAF,FORT BENNING,U,32,20,14,84,59,28,232
YPY,FORT CHIPEWYAN,FORT CHIPEWYAN,C,58,46,2,111,7,2,761
FOD,FORT DODGE RGNL,FORT DODGE,U,42,33,5,94,11,33,1157
GTB,WHEELER SACK AAF,FORT DRUM,U,44,3,20,75,43,10,691
FAF,FELKER AAF,FORT EUSTIS,U,37,7,57,76,36,31,12
FHU,SIERRA VISTA MUNI LIBBY AAF,FORT HUACHUCA,U,31,35,18,110,20,39,4719
BYS,BICYCLE LAKE AAF,FORT IRWIN,U,35,16,49,116,37,48,2350
FTK,GODMAN AAF,FORT KNOX,U,37,54,25,85,58,19,756
FLL,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL,FORT LAUDERDALE,U,26,4,21,80,9,9,9
FXE,FORT LAUDERDALE EXECUTIVE,FORT LAUDERDALE,U,26,11,50,80,10,14,14
FLV,SHERMAN AAF,FORT LEAVENWORTH,U,39,22,6,94,54,52,772
YMM,FORT MCMURRAY,FORT MCMURRAY,C,56,39,12,111,13,19,1211
ZFM,FORT MCPHERSON,FORT MCPHERSON,C,67,24,28,134,51,37,142
FMY,PAGE FLD,FORT MYERS,U,26,35,11,81,51,47,17
RSW,SOUTHWEST FLORIDA INTERNATIONAL,FORT MYERS,U,26,32,10,81,45,18,30
YYE,FORT NELSON,FORT NELSON,C,58,50,11,122,35,49,1253
POE,POLK AAF,FORT POLK,U,31,2,41,93,11,29,330
YFR,FORT RESOLUTION,FORT RESOLUTION,C,61,10,51,113,41,23,526
FRI,MARSHALL AAF,FORT RILEY,U,39,3,18,96,45,52,1063
YXJ,FORT ST JOHN,FORT SAINT JOHN,C,56,14,17,120,44,25,2280
FSI,HENRY POST AAF,FORT SILL,U,34,38,59,98,24,7,1189
YFS,FORT SIMPSON,FORT SIMPSON,C,61,45,37,121,14,12,555
FSM,FORT SMITH RGNL,FORT SMITH,U,35,20,11,94,22,2,469
AIN,WAINWRIGHT AS,FORT WAINWRIGHT,U,70,36,48,159,51,37,35
FBK,WAINWRIGHT AAF,FORT WAINWRIGHT,U,64,50,15,147,36,52,454
FTW,FORT WORTH MEACHAM INTERNATIONAL,FORT WORTH,U,32,49,11,97,21,44,710
DFW,DALLAS FORT WORTH INTERNATIONAL,FORT WORTH,U,32,53,47,97,2,15,603
FYU,FORT YUKON,FORT YUKON,U,66,34,17,145,15,1,433
YFC,FREDERICTON,FREDERICTON,C,45,52,10,66,31,54,68
FAT,FRESNO YOSEMITE INTERNATIONAL,FRESNO,U,36,46,34,119,43,5,336
GAG,GAGE,GAGE,U,36,17,43,99,46,35,2223
GNV,GAINESVILLE RGNL,GAINESVILLE,U,29,41,24,82,16,18,152
GAL,EDWARD G PITKA SR,GALENA,U,64,44,10,156,56,14,152
GLS,SCHOLES INTERNATIONAL AT GALVESTON,GALVESTON,U,29,15,55,94,51,37,6
YQX,GANDER INTERNATIONAL,GANDER,C,48,56,13,54,34,5,496
GCK,GARDEN CITY RGNL,GARDEN CITY,U,37,55,39,100,43,27,2890
YGP,GASPE,GASPE,C,48,46,31,64,28,43,108
YND,GATINEAU,GATINEAU,C,45,31,17,75,33,51,211
YGQ,GERALDTON GREENSTONE REGIONAL,GERALDTON,C,49,46,42,86,56,22,1144
YHK,GJOA HAVEN,GJOA HAVEN,C,68,38,8,95,50,59,152
GSB,SEYMOUR JOHNSON AFB,GOLDSBORO,U,35,20,21,77,57,38,110
YYR,GOOSE BAY,GOOSE BAY,C,53,19,9,60,25,33,160
YZE,GORE BAY MANITOULIN,GORE BAY,C,45,53,7,82,34,4,635
GFK,GRAND FORKS INTERNATIONAL,GRAND FORKS,U,47,56,57,97,10,34,845
GRR,GERALD R FORD INTERNATIONAL,GRAND RAPIDS,U,42,52,51,85,31,22,793
YQU,GRANDE PRAIRIE,GRANDE PRAIRIE,C,55,10,47,118,53,6,2195
GVW,RICHARDS GEBAUR MEMORIAL,GRANDVIEW,U,38,50,36,94,33,38,1090
GNT,GRANTS MILAN MUNI,GRANTS,U,35,9,55,107,54,2,6521
GTF,GREAT FALLS INTERNATIONAL,GREAT FALLS,U,47,28,55,111,22,14,3677
GRB,AUSTIN STRAUBEL INTERNATIONAL,GREEN BAY,U,44,29,6,88,7,46,695
GWO,GREENWOOD LEFLORE,GREENWOOD,U,33,29,39,90,5,4,162
YAW,SHEARWATER,HALIFAX,C,44,38,23,63,29,58,167
YHZ,HALIFAX INTERNATIONAL,HALIFAX,C,44,52,51,63,30,31,477
YUX,HALL BEACH,HALL BEACH,C,68,46,34,81,14,37,27
YHM,HAMILTON,HAMILTON,C,43,10,23,79,56,6,780
LFI,LANGLEY AFB,HAMPTON,U,37,4,58,76,21,37,11
HRL,VALLEY INTERNATIONAL,HARLINGEN,U,26,13,42,97,39,15,36
MDT,HARRISBURG INTERNATIONAL,HARRISBURG,U,40,11,36,76,45,48,310
HRO,BOONE CO,HARRISON,U,36,15,41,93,9,17,1365
HFD,HARTFORD BRAINARD,HARTFORD,U,41,44,10,72,39,0,19
HVR,HAVRE CITY CO,HAVRE,U,48,32,34,109,45,44,2590
HHR,JACK NORTHROP FLD HAWTHORNE MUNI,HAWTHORNE,U,33,55,22,118,20,6,66
YHY,HAY RIVER,HAY RIVER,C,60,50,23,115,46,58,543
HLN,HELENA RGNL,HELENA,U,46,36,24,111,58,57,3877
HIB,CHISHOLM HIBBING,HIBBING,U,47,23,11,92,50,20,1353
HKY,HICKORY RGNL,HICKORY,U,35,44,28,81,23,22,1189
